price,rating,reviews,review_growth_rate,Cotton,Polyester,Round Neck,Polo Neck,Short Sleeve,Long Sleeve
494.0,5.0,1,0.0,1,0,1,0,1,0
599.0,4.0,1,0.0,1,0,1,0,1,0
563.0,4.0,1,0.0,1,0,1,0,0,1
311.0,4.0,69,0.006747638326585695,1,0,1,0,1,0
399.0,4.8,8,0.018223234624145785,1,0,1,0,1,0
1031.0,4.8,5,0.03048780487804878,1,0,1,0,0,1
335.0,3.8,6279,0.008920606601248885,1,0,1,0,1,0
371.0,4.1,9,0.06293706293706294,1,0,1,0,0,0
549.0,5.0,1,0.0,1,0,1,0,1,0
351.0,3.9,154,0.007262164124909223,0,0,1,0,0,1
699.0,4.9,36,0.16129032258064516,1,0,0,0,0,0
296.0,4.0,101,0.007293946024799417,0,0,1,0,1,0
399.0,4.8,4,0.018018018018018018,1,0,1,0,0,0
360.0,4.2,4,0.037037037037037035,1,0,0,0,1,0
494.0,5.0,2,0.18181818181818182,1,0,1,0,1,0
271.0,4.2,6,0.23529411764705882,1,0,1,0,1,0
491.0,4.1,52,0.017152658662092625,1,0,1,0,1,0
328.0,4.6,5,0.036231884057971016,1,0,1,0,0,0
431.0,4.4,51,0.012300123001230012,1,0,1,0,1,0
359.0,4.3,13,0.09090909090909091,1,0,1,0,1,0
221.0,4.4,9,0.16071428571428573,1,0,1,0,1,0
449.0,4.0,5,0.03164556962025317,0,1,1,0,1,0
349.0,3.9,523,0.008090614886731391,0,0,1,0,1,0
415.0,3.0,1,0.0,1,0,1,0,1,0
349.0,4.5,15,0.03205128205128205,1,0,1,0,1,0
631.0,4.5,15,0.06756756756756757,1,0,1,0,1,0
257.0,3.9,88,0.00816326530612245,0,0,1,0,1,0
329.0,4.1,9,0.01775147928994083,1,0,1,0,1,0
999.0,4.0,26,0.03115264797507788,1,0,1,0,0,1
419.0,4.4,38,0.020618556701030927,1,0,1,0,0,1
494.0,4.0,1,0.0,1,0,0,0,1,0
446.0,4.5,15,0.011025358324145534,1,0,1,0,1,0
511.0,4.0,5,0.030864197530864196,1,0,1,0,1,0
287.0,4.0,249,0.00855431993156544,0,0,1,0,1,0
307.0,4.4,23,0.008517887563884156,1,0,1,0,1,0
279.0,4.2,20,0.02386634844868735,1,0,1,0,1,0
489.0,4.3,42,0.007077140835102618,1,0,0,0,0,1
216.0,5.0,1,0.0,1,0,1,0,1,0
1649.0,5.0,4,0.05063291139240506,1,0,1,0,1,0
297.0,4.4,14,0.005871990604815032,1,0,1,0,0,0
849.0,4.5,41,0.014184397163120567,1,0,1,0,1,0
519.0,4.1,33,0.011198208286674132,1,0,1,0,1,0
389.0,4.1,87,0.011441647597254004,1,0,1,0,1,0
454.0,5.0,1,0.0,1,0,1,0,1,0
314.0,4.1,233,0.007686395080707148,1,0,1,0,1,0
443.0,4.4,16,0.021645021645021644,1,0,1,0,1,0
279.0,3.8,294,0.005963029218843173,0,0,1,0,1,0
335.0,4.2,190,0.0425531914893617,1,0,1,0,1,0
